,z,cluster
35890,0,-1
27174,1,-1
33988,0,-1
31021,1,-1
33313,0,-1
31995,0,-1
33933,0,-1
31852,1,-1
10021,1,-1
20226,1,-1
355,1,-1
36997,0,-1
38675,0,-1
22453,1,-1
36324,0,-1
23744,1,-1
31354,1,-1
36516,0,-1
6413,1,-1
37305,0,-1
33122,0,-1
33587,1,-1
19210,0,-1
36336,0,-1
37225,0,-1
22140,1,-1
35495,0,-1
21531,1,-1
31464,1,-1
38653,0,-1
30550,1,-1
38542,0,-1
30750,1,-1
9294,1,-1
20561,0,-1
33198,0,-1
32732,0,-1
18517,0,-1
25048,0,-1
36259,0,-1
33568,1,-1
34167,0,-1
32587,1,-1
33652,1,-1
32587,0,-1
31897,1,-1
32817,1,-1
30226,0,-1
30997,1,-1
25107,0,-1
5946,0,-1
38026,0,-1
30833,1,-1
10152,1,-1
32717,0,-1
31285,1,-1
5319,0,-1
32654,0,-1
16655,0,-1
16646,0,-1
36219,0,-1
19431,0,-1
20578,0,-1
10052,1,-1
4179,0,-1
34849,0,-1
5950,0,-1
32097,1,-1
35325,0,-1
33341,1,-1
25370,0,-1
34485,0,-1
10432,1,-1
26845,1,-1
31369,0,-1
21515,1,-1
31181,0,-1
32442,1,-1
30229,1,-1
21402,1,-1
34400,0,-1
30765,1,-1
36296,1,-1
34979,1,-1
36059,1,-1
32494,1,-1
103,1,-1
34633,0,-1
6409,0,-1
35245,0,-1
31965,0,-1
31842,1,-1
37260,0,-1
23318,0,-1
35501,0,-1
3354,0,-1
32039,0,-1
34618,0,-1
21394,1,-1
33654,1,-1
10012,0,-1
33068,1,-1
34706,0,-1
35172,0,-1
34155,0,-1
32028,0,-1
34739,0,-1
644,1,-1
10087,0,-1
13632,0,-1
38112,0,-1
36083,0,-1
32761,1,-1
17592,0,-1
38119,0,-1
20582,0,-1
36839,0,-1
35738,1,-1
20056,1,-1
35852,0,-1
667,1,-1
36396,1,-1
33003,1,-1
35894,0,-1
30668,0,-1
34574,0,-1
31397,0,-1
25046,0,-1
27005,1,-1
7326,0,-1
6436,0,-1
35052,0,-1
38942,0,-1
34369,0,-1
173,1,-1
20022,1,-1
36699,0,-1
30457,0,-1
35363,0,-1
38368,0,-1
36327,1,-1
30443,0,-1
26946,1,-1
31112,1,-1
33497,0,-1
3915,0,-1
37978,0,-1
36508,1,-1
38291,0,-1
20287,0,-1
2793,0,-1
25690,0,-1
27185,1,-1
38795,0,-1
36311,1,-1
32411,0,-1
33082,0,-1
31365,0,-1
20630,0,-1
33542,1,-1
35656,0,-1
20211,0,-1
10424,1,-1
30427,0,-1
31138,0,-1
30189,1,-1
18951,0,-1
31967,1,-1
30950,1,-1
18162,0,-1
36459,1,-1
18742,0,-1
282,0,-1
35456,0,-1
35134,0,-1
34021,0,-1
31003,0,-1
30344,0,-1
31279,1,-1
25033,0,-1
36352,0,-1
33965,0,-1
33499,1,-1
31323,1,-1
20094,1,-1
36401,0,-1
32810,0,-1
31268,1,-1
33954,0,-1
30978,1,-1
38231,1,-1
31598,1,-1
32322,1,-1
32213,0,-1
31842,0,-1
31230,0,-1
30554,0,-1
30561,1,-1
35496,0,-1
24183,0,-1
33660,0,-1
6048,0,-1
32501,1,-1
33835,0,-1
36297,0,-1
21384,1,-1
30097,1,-1
34886,0,-1
32281,0,-1
17301,0,-1
25672,0,-1
38172,0,-1
31201,0,-1
25711,0,-1
37609,0,-1
17599,0,-1
37275,0,-1
34373,0,-1
38219,0,-1
32683,1,-1
13647,0,-1
31105,1,-1
32437,0,-1
31146,0,-1
30436,1,-1
18841,0,-1
35803,1,-1
15002,0,-1
38018,0,-1
31036,1,-1
20167,0,-1
33846,0,-1
33978,0,-1
21592,1,-1
170,0,-1
17580,0,-1
31240,0,-1
31972,0,-1
37243,0,-1
34890,0,-1
11784,0,-1
31195,1,-1
35679,1,-1
31184,1,-1
31269,0,-1
20068,0,-1
36631,1,-1
36675,0,-1
36464,0,-1
31523,1,-1
34896,0,-1
326,1,-1
38658,0,-1
74,1,-1
36294,0,-1
38820,0,-1
35127,0,-1
9974,0,-1
190,1,-1
35308,0,-1
29718,1,-1
32300,1,-1
36659,0,-1
20450,0,-1
36230,0,-1
1369,1,-1
34251,0,-1
5537,0,-1
34182,0,-1
35686,0,-1
32029,0,-1
36991,0,-1
32417,0,-1
29805,1,-1
38833,1,-1
38866,0,-1
33606,0,-1
35123,0,-1
28424,0,-1
31877,1,-1
30838,0,-1
2083,1,-1
34834,0,-1
37914,0,-1
8784,1,-1
19261,0,-1
308,1,-1
21118,0,-1
35877,0,-1
33742,1,-1
34284,1,-1
38718,0,-1
30398,1,-1
34461,0,-1
32504,1,-1
18237,0,-1
36153,0,-1
31398,0,-1
10253,1,-1
31330,1,-1
38056,0,-1
33480,0,-1
31821,1,-1
37788,0,-1
31972,1,-1
30977,1,-1
31743,1,-1
31338,1,-1
37683,0,-1
18937,0,-1
36483,1,-1
18915,0,-1
30071,0,-1
32272,1,-1
6353,0,-1
18788,0,-1
38769,0,-1
37629,0,-1
37424,0,-1
34214,0,-1
36439,0,-1
152,1,-1
33258,0,-1
4205,0,-1
9179,0,-1
31463,1,-1
30308,0,-1
32209,0,-1
32199,0,-1
18780,0,-1
5898,1,-1
19553,1,-1
10718,0,-1
24730,1,-1
18235,0,-1
22859,0,-1
33173,0,-1
183,0,-1
6417,1,-1
35148,0,-1
32508,1,-1
37459,0,-1
34111,0,-1
15100,0,-1
26814,1,-1
16590,0,-1
33141,1,-1
37317,0,-1
31267,0,-1
33106,0,-1
21331,1,-1
31192,0,-1
20144,1,-1
37682,0,-1
30183,1,-1
20194,1,-1
32,1,-1
4914,0,-1
38898,0,-1
5726,1,-1
30394,1,-1
31502,1,-1
35575,0,-1
82,1,-1
1426,0,-1
31407,1,-1
33415,1,-1
19153,0,-1
6403,1,-1
30090,0,-1
10070,0,-1
33138,0,-1
4947,0,-1
210,1,-1
30015,0,-1
33022,1,-1
35970,1,-1
33431,1,-1
33852,0,-1
20772,0,-1
10207,1,-1
19334,0,-1
33083,0,-1
10398,1,-1
18522,0,-1
34220,0,-1
32265,1,-1
30814,1,-1
30552,0,-1
33352,0,-1
31067,0,-1
33408,0,-1
30184,0,-1
35705,0,-1
35440,0,-1
30337,0,-1
32473,1,-1
37858,0,-1
13497,0,-1
32626,1,-1
39071,0,-1
32059,1,-1
10015,0,-1
126,0,-1
36201,0,-1
35447,0,-1
36177,1,-1
36222,0,-1
4192,0,-1
31599,1,-1
25404,0,-1
10137,0,-1
30643,0,-1
25676,0,-1
38550,0,-1
10324,0,-1
29758,1,-1
20701,0,-1
31083,0,-1
37108,0,-1
30853,1,-1
21599,1,-1
35810,1,-1
33538,1,-1
629,1,-1
32488,0,-1
37297,0,-1
10210,1,-1
19254,0,-1
31932,0,-1
38061,0,-1
33072,1,-1
36238,0,-1
16045,0,-1
21499,1,-1
36480,0,-1
18148,0,-1
31604,0,-1
5017,1,-1
31957,0,-1
36884,0,-1
32833,1,-1
32436,0,-1
38239,0,-1
10195,0,-1
38216,1,-1
33056,0,-1
24107,1,-1
30055,1,-1
3577,1,-1
6942,0,-1
33032,1,-1
20543,0,-1
38829,0,-1
37786,0,-1
32404,1,-1
37873,0,-1
34022,0,-1
10019,1,-1
17332,0,-1
33211,0,-1
341,1,-1
6869,0,-1
34670,0,-1
20655,0,-1
21482,1,-1
545,1,-1
32319,0,-1
32068,1,-1
321,1,-1
36834,0,-1
34342,0,-1
31871,1,-1
36526,1,-1
34232,0,-1
35719,0,-1
31296,0,-1
7194,0,-1
34752,0,-1
32695,1,-1
36489,0,-1
10480,1,-1
19485,0,-1
32262,1,-1
37421,0,-1
34257,0,-1
33634,0,-1
33641,1,-1
34630,0,-1
25082,0,-1
38352,0,-1
6269,0,-1
34399,0,-1
36814,0,-1
30481,1,-1
543,1,-1
19269,1,-1
25339,0,-1
38529,0,-1
30297,1,-1
31909,0,-1
38978,0,-1
4203,0,-1
31893,1,-1
31970,0,-1
21948,1,-1
24159,1,-1
34374,1,-1
35691,0,-1
32266,0,-1
8586,1,-1
34700,0,-1
102,1,-1
34041,0,-1
37900,0,-1
6101,0,-1
18158,0,-1
6277,0,-1
36907,0,-1
25013,0,-1
32180,1,-1
31728,0,-1
969,1,-1
10147,1,-1
31227,1,-1
36461,0,-1
30859,0,-1
33199,0,-1
424,0,-1
34937,0,-1
20666,0,-1
34609,0,-1
20041,1,-1
24268,1,-1
10100,1,-1
18823,0,-1
20608,0,-1
21946,1,-1
25049,0,-1
20838,1,-1
32154,1,-1
27119,1,-1
31894,0,-1
27298,1,-1
31328,1,-1
33703,0,-1
1103,1,-1
31378,1,-1
34694,0,-1
31275,1,-1
34541,0,-1
37463,0,-1
30822,0,-1
30880,1,-1
36379,0,-1
31235,0,-1
37686,0,-1
31166,1,-1
18301,0,-1
32876,0,-1
30973,0,-1
35529,0,-1
31613,0,-1
30811,0,-1
10002,1,-1
32015,0,-1
10104,0,-1
10312,1,-1
36795,0,-1
20818,0,-1
5929,0,-1
34594,1,-1
20016,1,-1
32025,1,-1
392,1,-1
35621,0,-1
36576,0,-1
35079,1,-1
35283,0,-1
16663,0,-1
20958,1,-1
30350,0,-1
31229,0,-1
34160,0,-1
7,0,-1
31052,1,-1
7051,0,-1
31006,0,-1
34458,0,-1
32833,0,-1
37879,0,-1
205,1,-1
23855,0,-1
35485,0,-1
31443,0,-1
30852,1,-1
24564,1,-1
35036,0,-1
10033,0,-1
9682,0,-1
35139,0,-1
37358,0,-1
35508,0,-1
32224,0,-1
20291,0,-1
10190,1,-1
33759,0,-1
