,z,cluster
15685,0,2
16165,0,2
16004,0,2
15940,0,2
15253,0,2
15089,0,2
15732,0,2
14768,0,2
16311,0,2
13382,0,2
13294,0,2
15445,0,2
15637,0,2
14643,0,2
14234,0,2
15415,0,2
14678,0,2
13317,0,2
14897,0,2
12995,0,2
13465,0,2
14635,0,2
13268,0,2
16292,0,2
15801,0,2
13365,0,2
14931,0,2
13981,0,2
15669,0,2
15336,0,2
16822,0,2
14591,0,2
1163,0,2
14336,0,2
15241,0,2
16830,0,2
16472,0,2
13332,0,2
13530,0,2
14735,0,2
14530,0,2
16212,0,2
14797,0,2
17851,0,2
15156,0,2
16567,0,2
16827,0,2
15861,0,2
15477,0,2
13958,0,2
14379,0,2
15919,0,2
16014,0,2
13985,0,2
15318,0,2
13366,0,2
15845,0,2
14399,0,2
13713,0,2
15209,0,2
15569,0,2
16282,0,2
13396,0,2
13688,0,2
14625,0,2
15911,0,2
16088,0,2
13687,0,2
14134,0,2
15380,0,2
14090,0,2
15622,0,2
15808,0,2
14911,0,2
13318,0,2
16375,0,2
16131,0,2
15314,0,2
15855,0,2
13462,0,2
14285,0,2
14919,0,2
16198,0,2
15819,0,2
14005,0,2
16483,0,2
13690,0,2
15457,0,2
15818,0,2
14442,0,2
13307,0,2
15630,0,2
16172,0,2
15385,0,2
16237,0,2
14313,0,2
15933,0,2
16554,0,2
16631,0,2
15583,0,2
16509,0,2
15529,0,2
16556,0,2
14184,0,2
15641,0,2
15216,0,2
13348,0,2
15359,0,2
15069,0,2
16772,0,2
14012,0,2
15126,0,2
14172,0,2
16783,0,2
15775,0,2
15645,0,2
15099,0,2
15617,0,2
15860,0,2
14933,0,2
16405,0,2
15777,0,2
16293,0,2
15700,0,2
15406,0,2
16020,0,2
13996,0,2
14515,0,2
13919,0,2
12241,0,2
14932,0,2
16213,0,2
15843,0,2
15229,0,2
15218,0,2
1114,0,2
13415,0,2
14305,0,2
15153,0,2
15079,0,2
14621,0,2
13478,0,2
15949,0,2
16771,0,2
13956,0,2
15927,0,2
14401,0,2
13393,0,2
15977,0,2
16128,0,2
16363,0,2
14863,0,2
14094,0,2
14748,0,2
16179,0,2
14289,0,2
16742,0,2
16133,0,2
15240,0,2
15635,0,2
14258,0,2
15929,0,2
16547,0,2
14030,0,2
15614,0,2
15733,0,2
13533,0,2
15499,0,2
16529,0,2
16786,0,2
14075,0,2
16043,0,2
15120,0,2
15384,0,2
16550,0,2
14491,0,2
13545,0,2
13055,0,2
15317,0,2
14014,0,2
14653,0,2
14602,0,2
14388,0,2
15954,0,2
15697,0,2
15851,0,2
16246,0,2
14095,0,2
16474,0,2
15944,0,2
14239,0,2
16497,0,2
15052,0,2
16404,0,2
14259,0,2
14857,0,2
14549,0,2
14937,0,2
14391,0,2
14847,0,2
14860,0,2
14366,0,2
15143,0,2
1154,0,2
14701,0,2
13414,0,2
16117,0,2
13336,0,2
15407,0,2
16789,0,2
15655,0,2
14706,0,2
15154,0,2
15382,0,2
15639,0,2
15050,0,2
17913,0,2
15718,0,2
14314,0,2
1117,0,2
15910,0,2
14692,0,2
14101,0,2
15152,0,2
16604,0,2
15506,0,2
14221,0,2
16444,0,2
15160,0,2
15716,0,2
15571,0,2
14219,0,2
14555,0,2
14873,0,2
14171,0,2
13863,0,2
14282,0,2
14782,0,2
15459,0,2
16453,0,2
15658,0,2
15561,0,2
15065,0,2
14556,0,2
14472,0,2
15242,0,2
13738,0,2
14112,0,2
16501,0,2
13413,0,2
14800,0,2
16308,0,2
14069,0,2
14841,0,2
16089,0,2
13758,0,2
16250,0,2
13847,0,2
14631,0,2
14762,0,2
14608,0,2
13670,0,2
15751,0,2
16050,0,2
16142,0,2
13292,0,2
14856,0,2
13950,0,2
16216,0,2
14042,0,2
16331,0,2
15191,0,2
15970,0,2
13276,0,2
16007,0,2
13921,0,2
14048,0,2
13929,0,2
15278,0,2
15078,0,2
14702,0,2
16350,0,2
15627,0,2
13358,0,2
17914,0,2
16377,0,2
16301,0,2
1140,0,2
13913,0,2
13553,0,2
13841,0,2
15526,0,2
16815,0,2
16011,0,2
14085,0,2
15928,0,2
15531,0,2
14170,0,2
16819,0,2
16571,0,2
14066,0,2
14004,0,2
15835,0,2
16450,0,2
15273,0,2
13378,0,2
14781,0,2
15711,0,2
16316,0,2
15541,0,2
1130,0,2
14050,0,2
14718,0,2
16305,0,2
15396,0,2
16192,0,2
14001,0,2
14689,0,2
13867,0,2
14100,0,2
14267,0,2
16411,0,2
15687,0,2
15607,0,2
13896,0,2
15908,0,2
14033,0,2
15473,0,2
15326,0,2
15724,0,2
16487,0,2
16272,0,2
13438,0,2
15989,0,2
14320,0,2
14339,0,2
14059,0,2
14600,0,2
16139,0,2
1137,0,2
15329,0,2
16339,0,2
13805,0,2
14662,0,2
16479,0,2
16560,0,2
16181,0,2
15895,0,2
14742,0,2
14365,0,2
15799,0,2
13874,0,2
15175,0,2
15210,0,2
13961,0,2
14751,0,2
13406,0,2
16185,0,2
14407,0,2
16247,0,2
15671,0,2
15508,0,2
14028,0,2
13829,0,2
15322,0,2
14415,0,2
16606,0,2
14418,0,2
15453,0,2
15177,0,2
16535,0,2
14146,0,2
15208,0,2
14944,0,2
13302,0,2
15198,0,2
15524,0,2
15663,0,2
14703,0,2
13968,0,2
16745,0,2
15997,0,2
16820,0,2
14577,0,2
13373,0,2
13974,0,2
14654,0,2
16398,0,2
15975,0,2
14616,0,2
15233,0,2
15806,0,2
14535,0,2
15536,0,2
13469,0,2
16073,0,2
15549,0,2
16138,0,2
13970,0,2
14008,0,2
14155,0,2
14673,0,2
15116,0,2
15946,0,2
16215,0,2
13857,0,2
16240,0,2
13881,0,2
14000,0,2
15714,0,2
15123,0,2
15184,0,2
14084,0,2
1125,0,2
15566,0,2
14594,0,2
14044,0,2
15593,0,2
1127,0,2
14483,0,2
14784,0,2
13830,0,2
13512,0,2
13311,0,2
13240,0,2
14551,0,2
15918,0,2
15353,0,2
16791,0,2
15535,0,2
14194,0,2
14257,0,2
15145,0,2
15990,0,2
16416,0,2
13927,0,2
16271,0,2
14769,0,2
15528,0,2
15413,0,2
14127,0,2
15280,0,2
14796,0,2
16090,0,2
15720,0,2
14503,0,2
13803,0,2
14323,0,2
15770,0,2
15394,0,2
16307,0,2
14269,0,2
13376,0,2
15421,0,2
16439,0,2
16774,0,2
15220,0,2
16022,0,2
13978,0,2
14346,0,2
15556,0,2
14853,0,2
13883,0,2
15410,0,2
13494,0,2
15287,0,2
14020,0,2
15952,0,2
14196,0,2
14109,0,2
16503,0,2
15896,0,2
13809,0,2
15600,0,2
15232,0,2
15941,0,2
16496,0,2
15417,0,2
14404,0,2
14195,0,2
16812,0,2
15647,0,2
15352,0,2
15958,0,2
16520,0,2
14292,0,2
16358,0,2
14588,0,2
13774,0,2
15369,0,2
15465,0,2
13380,0,2
16155,0,2
13798,0,2
14813,0,2
14527,0,2
15237,0,2
14025,0,2
14240,0,2
14548,0,2
15442,0,2
13385,0,2
14283,0,2
14197,0,2
14557,0,2
16559,0,2
15466,0,2
14148,0,2
15553,0,2
16079,0,2
15822,0,2
15098,0,2
13363,0,2
16346,0,2
16009,0,2
16001,0,2
14393,0,2
16526,0,2
15390,0,2
14437,0,2
14319,0,2
15974,0,2
16807,0,2
14308,0,2
16515,0,2
15862,0,2
13386,0,2
16239,0,2
15681,0,2
16249,0,2
15487,0,2
15185,0,2
16217,0,2
13965,0,2
15414,0,2
15194,0,2
13554,0,2
15368,0,2
16183,0,2
14494,0,2
15186,0,2
13453,0,2
13323,0,2
15234,0,2
14674,0,2
15676,0,2
16304,0,2
14236,0,2
14724,0,2
13723,0,2
14144,0,2
1147,0,2
14385,0,2
14568,0,2
14255,0,2
13865,0,2
16254,0,2
13991,0,2
15882,0,2
14593,0,2
13711,0,2
16018,0,2
15498,0,2
16236,0,2
13451,0,2
15034,0,2
14650,0,2
13403,0,2
14176,0,2
16459,0,2
13924,0,2
16019,0,2
15582,0,2
14893,0,2
16504,0,2
14749,0,2
15628,0,2
14741,0,2
14016,0,2
15598,0,2
16460,0,2
17884,0,2
13022,0,2
16521,0,2
16345,0,2
14645,0,2
14111,0,2
14596,0,2
15527,0,2
13399,0,2
14475,0,2
14627,0,2
15423,0,2
14064,0,2
16248,0,2
14036,0,2
13269,0,2
13428,0,2
16466,0,2
14057,0,2
15437,0,2
15994,0,2
13328,0,2
15753,0,2
14436,0,2
14174,0,2
