,z,cluster
75526,1,7
76692,1,7
20784,0,7
76871,1,7
76706,1,7
76569,1,7
76791,1,7
76836,1,7
76630,1,7
76778,1,7
76878,1,7
76437,1,7
76446,1,7
76784,1,7
76468,1,7
76099,1,7
76912,1,7
76794,1,7
38583,0,7
76013,1,7
60139,1,7
30713,0,7
72056,1,7
20690,0,7
75508,1,7
76631,1,7
76601,1,7
76765,1,7
76790,1,7
70049,1,7
72925,1,7
76136,1,7
40739,1,7
76295,1,7
76576,1,7
76789,1,7
76580,1,7
76055,1,7
70043,1,7
76581,1,7
40446,1,7
59527,1,7
76828,1,7
76649,1,7
76606,1,7
76743,1,7
76611,1,7
76374,1,7
40429,1,7
76265,1,7
76608,1,7
76723,1,7
76862,1,7
75676,1,7
40389,1,7
74369,1,7
76625,1,7
76010,1,7
76600,1,7
20685,0,7
76842,1,7
72133,1,7
76733,1,7
76881,1,7
76062,1,7
76929,1,7
76740,1,7
72891,1,7
76933,1,7
76773,1,7
76587,1,7
76837,1,7
76669,1,7
76186,1,7
76868,1,7
76704,1,7
75510,1,7
76805,1,7
76829,1,7
76665,1,7
20709,0,7
74193,1,7
50240,1,7
76697,1,7
76883,1,7
76009,1,7
